Date,Open,High,Low,Close,Adj Close,Volume
2021-09-24,142000.000000,142500.000000,139000.000000,139500.000000,138640.765625,865310
2021-09-27,139000.000000,139500.000000,138000.000000,138500.000000,137646.921875,526452
2021-09-28,138000.000000,138500.000000,132500.000000,132500.000000,131683.875000,1667863
2021-09-29,129000.000000,131000.000000,128000.000000,129500.000000,128702.351563,1435656
2021-09-30,128500.000000,129000.000000,125000.000000,127500.000000,126714.671875,1505941
2021-10-01,125500.000000,127500.000000,124500.000000,125500.000000,124726.992188,1099392
2021-10-05,123000.000000,125500.000000,121000.000000,123500.000000,122739.312500,1158497
2021-10-06,125500.000000,126000.000000,119000.000000,120000.000000,119260.867188,1599552
2021-10-07,121000.000000,125000.000000,120000.000000,124000.000000,123236.234375,907601
2021-10-08,125000.000000,125500.000000,119000.000000,120000.000000,119260.867188,1407749
2021-10-12,121000.000000,125500.000000,119000.000000,124000.000000,123236.234375,1793542
2021-10-13,122500.000000,123000.000000,119500.000000,122000.000000,121248.546875,943291
2021-10-14,123500.000000,125500.000000,122500.000000,123500.000000,122739.312500,950533
2021-10-15,125000.000000,127000.000000,125000.000000,126500.000000,125720.835938,743492
2021-10-18,127500.000000,127500.000000,123500.000000,123500.000000,122739.312500,716291
2021-10-19,124500.000000,127000.000000,123500.000000,126500.000000,125720.835938,600501
2021-10-20,126500.000000,127500.000000,125000.000000,125000.000000,124230.070313,579159
2021-10-21,126000.000000,127500.000000,125000.000000,125500.000000,124726.992188,571147
2021-10-22,125000.000000,126000.000000,123000.000000,125000.000000,124230.070313,360096
2021-10-25,123500.000000,126000.000000,122500.000000,124500.000000,123733.148438,554539
2021-10-26,125000.000000,126000.000000,124500.000000,125500.000000,124726.992188,706443
2021-10-27,125500.000000,126000.000000,121500.000000,122000.000000,121248.546875,912547
2021-10-28,122000.000000,124000.000000,121000.000000,122000.000000,121248.546875,842870
2021-10-29,124000.000000,129000.000000,119500.000000,120500.000000,119757.789063,2301006
2021-11-01,121000.000000,122000.000000,119500.000000,120500.000000,119757.789063,761704
2021-11-02,121000.000000,124500.000000,120500.000000,123000.000000,122242.390625,915388
2021-11-03,123500.000000,124000.000000,121000.000000,122000.000000,121248.546875,503633
2021-11-04,124000.000000,126000.000000,122000.000000,122500.000000,121745.468750,769589
2021-11-05,123500.000000,124500.000000,121500.000000,123000.000000,122242.390625,470484
2021-11-08,123000.000000,123500.000000,120500.000000,122500.000000,121745.468750,478858
2021-11-09,123000.000000,125000.000000,122000.000000,123000.000000,122242.390625,497844
2021-11-10,122000.000000,123000.000000,119000.000000,119500.000000,118763.945313,707984
2021-11-11,119000.000000,119500.000000,115500.000000,117500.000000,116776.265625,1137785
2021-11-12,118000.000000,122000.000000,118000.000000,122000.000000,121248.546875,734937
2021-11-15,122500.000000,125000.000000,122500.000000,124500.000000,123733.148438,521720
2021-11-16,124500.000000,125500.000000,123000.000000,124000.000000,123236.234375,565313
2021-11-17,124500.000000,125000.000000,122000.000000,123000.000000,122242.390625,524897
2021-11-18,123500.000000,124000.000000,122000.000000,122500.000000,121745.468750,480336
2021-11-19,128000.000000,137500.000000,127500.000000,133500.000000,132677.718750,4928339
2021-11-22,133500.000000,136000.000000,131500.000000,134000.000000,133174.640625,1670033
2021-11-23,132500.000000,133000.000000,127000.000000,128000.000000,127211.593750,1329955
2021-11-24,127000.000000,130000.000000,126000.000000,128500.000000,127708.515625,988988
2021-11-25,128500.000000,129000.000000,125000.000000,125500.000000,124726.992188,675145
2021-11-26,125500.000000,126500.000000,121500.000000,122000.000000,121248.546875,872482
2021-11-29,118000.000000,122000.000000,118000.000000,119500.000000,118763.945313,933062
2021-11-30,120500.000000,122000.000000,115000.000000,115500.000000,114788.585938,1809765
2021-12-01,116500.000000,120000.000000,115500.000000,120000.000000,119260.867188,851165
2021-12-02,118000.000000,122000.000000,118000.000000,122000.000000,121248.546875,725845
2021-12-03,122000.000000,123000.000000,119000.000000,122000.000000,121248.546875,780951
2021-12-06,121500.000000,125000.000000,120500.000000,124000.000000,123236.234375,819472
2021-12-07,124000.000000,126000.000000,121500.000000,125500.000000,124726.992188,720765
2021-12-08,127500.000000,128000.000000,122500.000000,123500.000000,122739.312500,1043122
2021-12-09,122500.000000,125000.000000,122000.000000,123000.000000,122242.390625,1151051
2021-12-10,122000.000000,126000.000000,121500.000000,126000.000000,125223.914063,671405
2021-12-13,129500.000000,135500.000000,129000.000000,134000.000000,133174.640625,2612253
2021-12-14,132500.000000,133500.000000,128000.000000,128500.000000,127708.515625,1506380
2021-12-15,128500.000000,130500.000000,127000.000000,129500.000000,128702.351563,855372
2021-12-16,131500.000000,132500.000000,129000.000000,130000.000000,129199.273438,705254
2021-12-17,128000.000000,131500.000000,127500.000000,129500.000000,128702.351563,944383
2021-12-20,128500.000000,129000.000000,125500.000000,125500.000000,124726.992188,864094
2021-12-21,127000.000000,131000.000000,126500.000000,130500.000000,129696.195313,993693
2021-12-22,132000.000000,132500.000000,129000.000000,129500.000000,128702.351563,703187
2021-12-23,130500.000000,139000.000000,128500.000000,137000.000000,136156.156250,2564334
2021-12-24,137000.000000,138000.000000,134000.000000,136500.000000,135659.234375,1170212
2021-12-27,136500.000000,140000.000000,135500.000000,138000.000000,137150.000000,958151
2021-12-28,139000.000000,139500.000000,137000.000000,138000.000000,137150.000000,1186045
2021-12-29,138500.000000,141500.000000,138000.000000,140500.000000,140500.000000,1104635
2021-12-30,140000.000000,140500.000000,138000.000000,138000.000000,138000.000000,703821
2022-01-04,143000.000000,145000.000000,140000.000000,142000.000000,142000.000000,1419997
2022-01-05,142000.000000,142000.000000,137500.000000,138500.000000,138500.000000,965541
2022-01-06,136000.000000,139000.000000,134500.000000,135000.000000,135000.000000,1038777
2022-01-07,136500.000000,138000.000000,135000.000000,137500.000000,137500.000000,808243
2022-01-10,135500.000000,136000.000000,129000.000000,130000.000000,130000.000000,1784965
2022-01-11,129500.000000,131500.000000,127500.000000,130500.000000,130500.000000,985952
2022-01-12,131500.000000,138500.000000,131000.000000,137000.000000,137000.000000,1757579
2022-01-13,139000.000000,150000.000000,139000.000000,145500.000000,145500.000000,5019347
2022-01-14,145500.000000,150500.000000,143500.000000,146000.000000,146000.000000,2850564
2022-01-17,145000.000000,145500.000000,139500.000000,140500.000000,140500.000000,1727769
2022-01-18,140500.000000,142000.000000,137500.000000,138000.000000,138000.000000,1340867
2022-01-19,136000.000000,139500.000000,135500.000000,137000.000000,137000.000000,1329933
2022-01-20,137500.000000,140000.000000,136000.000000,140000.000000,140000.000000,1103779
2022-01-21,137500.000000,138000.000000,131000.000000,133500.000000,133500.000000,1954318
2022-01-24,132000.000000,136000.000000,130000.000000,134000.000000,134000.000000,1502530
2022-01-25,134500.000000,135500.000000,130000.000000,131000.000000,131000.000000,1448593
2022-01-26,131000.000000,131000.000000,131000.000000,131000.000000,131000.000000,0
2022-01-27,129500.000000,130500.000000,122500.000000,124000.000000,124000.000000,1588541
2022-01-28,125000.000000,127500.000000,124000.000000,127500.000000,127500.000000,1048524
2022-02-03,130000.000000,130500.000000,126000.000000,126000.000000,126000.000000,1236485
2022-02-04,126000.000000,128000.000000,125000.000000,128000.000000,128000.000000,715127
2022-02-07,127500.000000,127500.000000,124000.000000,125000.000000,125000.000000,907137
2022-02-08,125000.000000,125000.000000,125000.000000,125000.000000,125000.000000,0
2022-02-09,125000.000000,125000.000000,125000.000000,125000.000000,125000.000000,0
2022-02-10,131000.000000,131500.000000,126000.000000,128500.000000,128500.000000,1304496
2022-02-11,126500.000000,128500.000000,126000.000000,126500.000000,126500.000000,640135
2022-02-14,124000.000000,126000.000000,121500.000000,123000.000000,123000.000000,982772
2022-02-15,123500.000000,124500.000000,120500.000000,122000.000000,122000.000000,828330
2022-02-16,124500.000000,125000.000000,122500.000000,123000.000000,123000.000000,679538
2022-02-17,123000.000000,126000.000000,122500.000000,124000.000000,124000.000000,1006830
2022-02-18,122000.000000,124000.000000,121000.000000,123500.000000,123500.000000,684818
2022-02-21,123500.000000,123500.000000,123500.000000,123500.000000,123500.000000,0
2022-02-22,123500.000000,123500.000000,123500.000000,123500.000000,123500.000000,0
2022-02-23,123500.000000,123500.000000,123500.000000,123500.000000,123500.000000,0
2022-02-24,124500.000000,127500.000000,123000.000000,124000.000000,124000.000000,1218895
2022-02-25,126000.000000,126500.000000,123000.000000,124000.000000,124000.000000,714011
2022-02-28,124000.000000,124000.000000,124000.000000,124000.000000,124000.000000,0
2022-03-02,123000.000000,125000.000000,122000.000000,123500.000000,123500.000000,678583
2022-03-03,125000.000000,128000.000000,124500.000000,127500.000000,127500.000000,799782
2022-03-04,127500.000000,127500.000000,127500.000000,127500.000000,127500.000000,0
2022-03-07,121500.000000,122000.000000,119000.000000,120500.000000,120500.000000,957534
2022-03-08,118000.000000,120000.000000,117000.000000,118000.000000,118000.000000,866699
2022-03-10,118000.000000,118000.000000,118000.000000,118000.000000,118000.000000,0
2022-03-11,120000.000000,122500.000000,119500.000000,122000.000000,122000.000000,648403
2022-03-14,121500.000000,124000.000000,121000.000000,122000.000000,122000.000000,842386
